Full context,1 level,2 level,conn,ton
у моего деда была пенсия 5 рублей в 1970 году у бабки 3.,3,13,neutral,neutral
"я не говорю, что на стороне белых все были пушистые. но……. у этих людей оставалась присяга, верность родине, вера в бога. думайте люди…… что гутарите. а я вот казачка. по бабке. вот почитай ниже Брат чего там було.",3,13,neutral,neutral
"maer, немного рассказывала. я маленькая была когда она умерла. помню то что ссылали, раскулачивали. много земли отобрали. я, кстати, на Хопре родилась. а там у нас казачество оч процветает. училась в казачьей школе. отец говорит, что я ни на него не похожа, ни на мать, а вылитая бабка) глаза у меня от нее и брови. ну и характер,",3,13,neutral,neutral
"Ну ясен пень, со слов отца, дедов и бабок.",3,13,neutral,neutral
"Бабка (Деду): Ты с кем там лясы точишь, старый хрыч?",2,11,neutral,neutral
"От окна на первом этаже, где расположилась дачная кухня, заносило дымком на веранду, и к горьковатому дыму, свидетельствовавшему о том, что бабка начала готовить завтрак, примешивался все тот же жирный дух репы.",2,11,neutral,neutral
"Не для того, чтобы бабке помочь, я вытянул репку — вздор!",2,11,neutral,neutral
Дедка с бабкой изредка важно переглядывались и принимались тянуть с новой силой.,2,11,neutral,neutral
"— Ну-с, потянем еще! — бодро сказала бабка. — Конечно, надо тащить, — заметил дед, стараясь оттянуть страшный час расплаты.",2,11,neutral,neutral
"— Ничего не понимаю! — сказала бабка, устало опустив руки. — Мы ее не вытащим!",2,11,neutral,neutral
"Антон Чехов Бабка (смеясь): Спасибо Жучке, напугала внучку, теперь мы одни.",2,11,neutral,neutral
Бабка (всплескивая руками): Как хорошо вы говорите!,2,11,neutral,neutral
"Бабка: Что вы со мной сделали, отчего я уже не люблю репку, как прежде.",2,11,neutral,neutral
"И проблема там была в том что не ясно было что старше роутер или бабка и то что роутер работал последние пол года вообще было чудом поэтому чтобы устранить неполадки нужно было менять оборудование, что не является нашими обязанностями.",2,11,neutral,neutral
"А в другой раз все само заработало (хотя скорее всего не на долго) но у меня бабка уперла обжимные клещи (хз нахуя они бабке), заметил только утром на планерке.",2,11,negative,neutral
"Поэтому мужчины на Руси носили удлиненные стрижки, а ведьмы (Ведьма, кто не знает, ведающая мать, а не старая злая бабка) длинные волосы.",2,11,negative,neutral
"Нищая бабка торгует на рынке, вокруг грязь и всё раздолбано.",2,11,neutral,negative
"На дорогах ямы, в которых бабка может утонуть.",2,11,neutral,neutral
"Её, бабку эту, грабят и обирают каждый божий день.",2,11,neutral,neutral
"Но ничего этого бабка не знает, потому что по телевизору ей сказали: НАВАЛЬНЫЙ УКРАЛ ВЕСЬ НАШ ВЯТСКИЙ ЛЕС.",2,11,neutral,neutral
"Об этом и переживает бабка, идя в поликлиникеу, где никакой нормальной медпомощи ей не окажут, несмотря на 3 триллиона долларов, поступившие в страну от продажи бабкиного сырья, за последние 12 лет.",2,11,neutral,neutral
"Можно ли винить в этом бабку? Конечно, нет.",2,11,neutral,neutral
"Сделали ли мы реальное услилие, чтобы провести с бабкой разъяснительную работу?",2,11,neutral,neutral
"Так вот, глядя на эту бабку, я вспомнил все эти письма и подумал, что, может быть, зря я их так решительно удалял.",2,11,neutral,neutral
"Листовочные кампании идут довольно успешно, но много в листовке не расскажешь. Бабке нужна газета. Очень простая.",2,11,neutral,neutral
"В ней, обычным русским языком, убедительно, но очень просто, нужно объяснить бабке, кто именно украл её вятский лес, а заодно и нефть, и газ.",2,11,neutral,neutral
"С ее мамой или бабкой, кем был тот персонаж который был постоянно с ней",2,11,neutral,neutral
"если что, то я сам ― наполовину хохол. дед с бабкой по одной линии ― выходцы из хохляндии",3,13,neutral,neutral
сегодня с репетиторства возвращался ― на улице бабка тормознула:,2,11,neutral,neutral
Черт! Другой я бабку зацепил! Ну и пусть!,2,11,neutral,neutral
Была бы техника цела! Бабок многоЯва у меня одна.,2,11,neutral,neutral
Бабку люди обнаружат по утру. А я тачку нежно тряпочкой протру…,2,11,neutral,neutral
Как вы думаете – как бабки собрались спасать кота?,2,11,neutral,neutral
― Вот ведь беда… ― со второго балкона  И тут поступает Идея Дня от бабки снизу:  ― А давайте его палками собьем?,2,11,neutral,neutral
Потому что дела у меня каждый день – а как три бабки – божьих одувана – сбивают палками кота с дерева – не видел никогда!,2,11,neutral,neutral
К монотонному мявканью бедного животного добавился истошный крик раненой в голову бабки.,2,11,neutral,neutral
Вся когорта набалконных бабок высыпала на улицу.,2,11,neutral,neutral
Кот был мгновенно забыт – понятное дело – ударенная скамейкой бабка – это намного интереснее…  Я сижу тихо в сторонке – и угораю.,2,11,neutral,neutral
"Потому что он виноват в том, что бабка получила по голове!",2,11,neutral,neutral
"Так вот – очередная бабка – спортсменка-рекордсменка видимо, произнеся что-то вроде крылатой фразы «А вы биточку неправильно держите – надо вот так – с замахом…» ― хватает кусок черенка от лопаты и встав в классическую позу – Дискобол Греческий – метает его в… окно второго этажа дома, стоящего сразу за акацией!",2,11,neutral,neutral
"― на лице…  Дальше происходит недлинный, но крайне конструктивный диалог – из которого становится очевидным следующее:  ― мужик в тельняшке – слегка пьян,  ― бабки – не смотря на возраст – тоже очень хорошо умеют разговаривать матом,  ― черенок влетел в окно сам – но виноват – кто бы вы думали?",2,11,neutral,neutral
"Мужик натурально краснеет как рак – и говорит, что бабки доигрались и теперь никто никуда не идет пока ему не купят новый телевизор.",2,11,neutral,neutral
Когда мы тянули с чердака на 5-ый этаж в доме№ 120 на последнем этаже бабка стала руки в боки и хрен вам я открою щиток.,2,11,negative,neutral
То что в этой педерастне оказались задействованы такие бабки что она попала в этот список ― в этом виноваты люди.,2,11,negative,negative
самое смешное что ты первый за тышшонку взятую со слепой бабки и поедешь))) с воплями доложите товаришшу сталину))),2,11,neutral,negative
"Ты и метеораст мне напоминаете бабку из фильма груз 200, которая вечно бухая 24/ 7 смотрит зомбоящик, и не замечает, как у нее в квартире гроб вскрывают и потом труп разлагается",2,11,negative,negative
"Ты как бабка на лавке ― ""у тебя пятка чешется?",2,11,neutral,neutral
"И очередь если есть, то мирная. И наглая бабка! Если есть, то провожаемая цепочкой шуток, а не проклятиями.",2,11,negative,neutral
"Вот я и представлял два дня, как ямнинские бабки, аки кабаны, землю на дыбы ставят.",2,11,neutral,neutral
А против бабок по грибам не попрешь…,2,11,neutral,neutral
В районе парка Динамо идет бабка с корзинкой грибов.,2,11,neutral,neutral
"Навстречу ей парень, решил пошутить. ― Бабка, давай сюда грибы!",2,11,neutral,neutral
"На что бабка ответила: ― Сынок, зачем тебе чужая смерть?",2,11,neutral,neutral
"И случай недельной давности. Супруга нечаянно услышала разговор двух бабок. Одна похвалилась, что в этом году насобирала много грибов, а вторая ей пожаловалась, что сильно отравилась и чуть не сдохла.",2,11,neutral,neutral
Как правильно отметил Андрей Ермаков пишет про бабок:,2,11,neutral,neutral
"Не думал, что конкуренцию мне составят не местные бабки, а дикие свинье.",2,11,neutral,neutral
"Заходишь на рынок, если бабки грибы продают, значит есть.",2,11,neutral,neutral
"Щас будут рассказывать, что конституция ФРГ не запрещает бабке Ангелине до гроба бессменно руководить свободолюбивыми немцами",2,11,neutral,negative
"Это бессмысленный разговор, как у бабок на рынке.",2,11,neutral,negative
"Он процветает только тогда, когда государство не справляется со своими обязанностями по организации производства и распределению готовой продукции. Как сорняк во дворе больной бабки… Ибо любой бизнес суть есть паразитирующий.",2,11,neutral,neutral
"Водитель подъехавшего джипа сказал виновнику: Не переживай, подумаешь бабку сбил, обойдется.",2,11,neutral,neutral
"Будьте внимательнее, не рискуйте своей жизнью и жизнью своих близких! Х… на бабку. Водителя жалко.",2,11,neutral,neutral
"Виталий, ну не совсем она бабкой была.",2,11,neutral,neutral
"А когда передо мной выбор, доехать от Работницы до цирка стоя в железном холодном гробу, рядом с непрерывно бухтящими ""до чего страну довели"" бабками за 4, 5 или сидя на мягком сиденье газели, под какую-никакую музыку за 5 руб…",2,11,neutral,neutral
Конечно на этом фоне три бабки в салоне трамвая это ужасная кокафония.,2,11,negative,neutral
"Вот только парадокс в чем ― если трамваи уберут, то бабкам придется ездить с вами в ГАЗелях, наслаждаясь невиданным комфортом (особенно пытаясь забраться в салон, любая дама, носящая длинное пальто подтвердит какое наслаждение садиться в ГАЗель) или вообще не выходить из дома.",2,11,neutral,neutral
"Я не люблю блатняк, но лучше уж Новиков с Кучиным, чем бредни бабок и постоянное нытье ""как раньше было заипись"" и ""Сталина на вас на всех нет"".",2,11,negative,neutral
"Я говорю: ""Простите, но я атеист и не думаю, что четыре высших офицера Российской Империи умирали за то, чтобы какие-то бабки в платках решали, когда можно, а когда нельзя смотреть на них добрым русским людям"".",2,11,negative,negative
"В 2011 году, на троллейбусном маршруте№ 46 водителями была замечена бабка, которая, на остановке ЖД кассы, садилась в следовавшие на обед троллейбусы, пряталась за сидениями, а когда водитель покидал тр-с, она втихаря ссала на пол и сидения.",2,11,neutral,neutral
Среди сидяков велика доля бабок (часто в компании с кравчучками).,2,11,neutral,neutral
"* С гриппом валится Лександра и собирается помирать* ― Ой а знаете, дайте мне противовирусного, иммуностимулирующего, арбидола, чеснока, водки, три оберега, гомеопатию и у вас не найдется телефона бабки-шептуньи?",2,11,neutral,neutral
"Хоть Гангреной захованное и выдоят-; к бабке не ходи, но видимо, что-то еще осталось.",5,5,neutral,neutral
"В общем бабка старанула как Усейн Болт, а парень в штаны по ходу нагадил.",2,11,neutral,neutral
"Сидят на столбе два электрика, мимо идёт бабка.",2,11,neutral,neutral
"Бабка нагибается, поднимает провод и подаёт его электрику.",2,11,neutral,neutral
"― Спасибо бабушка. Бабка уходит. Один электрик говорит другому: ― Я же говорил тебе, что нулевой, а ты: ""Фаза, фаза!"".",2,11,neutral,neutral
Никакой конкуренции не существуют! Только между бабками в переходе метро. Ну всё…,2,11,neutral,neutral
До конца. Дед сказал бабке Майор и Генерал,2,11,neutral,neutral
"Изюндрик, смешная трухлявая бабка, опять трухнула пейсами.",2,11,neutral,neutral
"Никого на лавочке не осталось, все бабки в шапито подались поглазеть на дрессированного бабуиныча, ты уж не подведи, строй им смешные рожи и хвостом зад подтирай",2,11,negative,negative
"Но как-то возле сельпо он увидел, как на какую-то бабку напали злые помидоры. xxx: Бабка как кинет Деду волшебную тяпку, он ее на лету поймал и все помидоры порубил. xxx: Тут говорит Бабка, что у Деда есть дар и он сможет спасти мир от Репки.",2,11,neutral,neutral
"И бегали бабка с дедом, с овощами сражались xxx: Вот один раз встретилась им репка. xxx: Отгреб Дед от репки, а та ему «Тебе еще 1000 лет тренировок, чтобы сражаться со мной на равных», потом злобно засмеялась и исчезла. xxx: Тут Бабка говорит, что где-то есть Внучка, которая научит деда «Путю КПСС».",2,11,neutral,neutral
Пошли они с Бабкой в путь. xxx: Встретилась им Жучка.,2,11,neutral,neutral
"Кошка с Патиссоном, Жучка с Брокколи, Внучка с Морковкой xxx: А Бабка с трудом победила Свеклу, но затем ее со спины убила Репка.",2,11,neutral,neutral
"И начался их бой с Репкой. xxx: Говорит Дедка «Ты стала медленней!» . А Репка ему «Готовься встретить Бабку!» Дерутся, дерутся, вот уже пол-огорода разрушили. xxx: Тут прибегают остальные.",2,11,neutral,neutral
"Тянут-потянут, вытянуть не могут. xxx: Да еще и Репка новую форму обрела, стала крупнее и ботва развивается. xxx: Но тут призрак Бабки явился.",2,11,neutral,neutral
"Герои попрощалась, и разошлись по свету xxx: Идет Дедка грустный, но тут видит на остановке какая-то бабка сидит, и есть в ней что-то знакомое… xxx: КОНЕЦ yyy: ничего себе сказочку на ночь попросила o. o",2,11,neutral,neutral
И бабки начали вступать В Едро практически всем хором.,2,11,neutral,neutral
от бизнес-дамы на десятсантиметровых каблуках или нагоняй от согнувшейся бабки с тележкой.,2,11,neutral,neutral
"Напиваясь до белой горячки, обманывая, воруя, исхлестывая жен вожжами, моря голодом старую бабку, четвертуя топорами пойманную в курятнике лису или осыпая стрелами последнего оставшегося на свете единорога, они любят думать, что ужаснее и безобразнее их все-таки привидение, которое ходит на заре по хатам.",2,11,neutral,negative
"Но мой парень говорит, что я как бабка, а джинсы – это «сексуально».",2,11,negative,neutral
"Не любит ежели евреев-; точно сам как есть жид, по бабке со стороны матери.",3,13,neutral,neutral
"Так же, как нынче фолк-ансамбли и последние бабки в глухих деревнях – раньше певали предания о Богах многочисленные язычники-славяне.",2,11,neutral,neutral
"Появятся юзеры как бабки, ворчащие у тебя в подъезде.",2,11,negative,neutral
"В кота регулярно что-нибудь кидают с обеих конфликтующих сторон, но коту пока везет. Вы помните «пришибленную скамейкой» бабку? Так вот, она все еще голосит, хотя и уже вяло, требует скорую помощь и обезболивающего.",2,11,neutral,neutral
"Смысл монолога старшего пожарника сводился к следующему: все машины всех районов находятся сейчас на экстренном тушении второго блока городского мусорозавода, а он должен заниматься ерундой с котами и полоумными бабками.",2,11,negative,neutral
"Но то ли врачи на скорой были слегка подвыпившими, то ли просто бабке опять не повезло… В общем, банку с зеленкой перевернули прямо старухе на голову.",2,11,neutral,neutral
"Старуха заорала в который уже раз за этот день и тут заорали все кто ее увидел, не каждый же день увидишь бабку с зеленым лицом и волосами.",2,11,neutral,neutral
"И увидели мокрую толпу, побитого «матроса», облепленные зеваками пожарную машину и скорую, ну и зеленую бабку.",2,11,neutral,neutral
"Приносят шавруху на псевдохрустальной тарелке (походу грабанули какую то бабку на сервиз, не иначе) Шавруха большая (я наелся) Мясо свежее, сочное (попалась одна жилка) Овощи свежие, но на вкус какие то пресноватые Соуса много (классический кебаб соус) Сырный лаваш, который посередине тестирования решил порваться и потечь (к счастью шаурма в целофановом пакете, все стекает туда) Если кратко: Плюсы Мясо Соус Сырный лаваш Наличие столиков Пищу богов приносят вежливые девушки Вроде даже чисто (но видно что грязь заметают по углам) Минусы: Овощи (был вечер, мб утром-днем они посвежее) Лаваш развалился (мб это специфика сырного лаваша) Итого 8/ 10, если надо нормально перекусить, все туда",2,11,neutral,neutral
"Водила завел машину… Тут дверь открывает бабка… И тут же спрашивает у водилы:” Милок, у тебя конец Сахарный?",2,11,neutral,neutral
"Бабка осмотрев ястребиным взглядом салон поняла, что свободных мест нету…",2,11,neutral,neutral
"Шибанутая бабка с 11 этажа не пускает к щитку, вчера кинулась на монтажников с кулаками (типо умру но к щитку не пущу)… жду ответа ГТ (у них договор с МУРЕПом, должны прийти с ними)",2,11,negative,neutral
"Flash, да….. бабки это ваще жесть и препятствие на пути новых технологий!!!!!",2,11,neutral,neutral
"Рана от ржавого грязного инструмента ― и всё, 50/ 50 что ты труп из-за заражения крови или еще какого столбняка. Вместо больницы для рожениц ― бабка-повитуха. И т. д.",5,5,neutral,neutral
Как бабка,2,11,negative,negative
"Я наблюдаю, не происходит ли ""отгруза"", как в случае ""договорняков"" — договорных игр — когда знающие предстоящий результат люди просто забивают контору бабками.",2,11,neutral,neutral
"вчера одна бабка сказала: сгорело 4 секции, остались только кирпичные стены. срок сначала сказали 2 недели, а реально месяц. народ работает днем и ночью, вчера чуть народ не спалили ― кто-то из подключенных на свои вводные линии несколько киловольт подал… короче там ща жарко… говорят даже начальник сев. сетей на телефоне дежурного сидел и отвечал на звонки.",2,11,neutral,neutral
Какая сведующая бабка вчера пришел счет на комуналку.,2,11,neutral,neutral
"Если первое, или одна бабка сказала, то ни к чему вообще сюда постить, если второе ― расскажи какие действия предпринимал, какие результаты",2,11,neutral,neutral
Новости как про бабку что ноет о подорожании гречки на 5 копеек,2,11,negative,negative
"Один известный московский ресторатор рассказывал примерно следующее: ""Раньше в проверках работали старые бабки, но они были компетентные.",2,11,negative,neutral
"Поэтому заглядывал в окна. Одна бабка, кажется, меня увидела. Крикнула: «Немцы в городе!»",2,11,neutral,neutral
Просто каждый год на лето его привозили к бабке.,3,13,neutral,neutral
… На этом месте бабка Дарья всегда начинала плакать.,2,11,neutral,neutral
"– тихо, ехидным голосом, из-за ширмы сказал квартирант Миша, что снимал у нее угол вот уже пятый год. Бабка Дарья вздрогнула и разрыдалась…… © Внучка.",2,11,neutral,neutral
"Дед резко вскакивает со стула бабке дает по голове и орет: ― Я же тебе говорил что говно, а ты засахарилось, засахарилось…",2,11,neutral,neutral
"Почему меня должны волновать в метро убогие бабки-полубомжихи, непонятно кем сделанные беременными уродины, а-то, что у меня барабанное барахло и оно тяжелое никого не ебет??",2,11,negative,negative
"#БОРЩ_цистика #пишет_не_пишет Когда тебе говорят о твоей поэтической никчёмности, о том, что у других лучше выходит, потому как у них есть врожденное чувство ритма, и вообще, там образы настоящие, про любовь, про жизнь, про плач, про маски, а у тебя про каких-то бабок и герань цветущую и тебе писать вообще не надо, лучше фотографией заняться, не унывай, милый друг.",2,11,neutral,neutral
"Соседка отвела ребенка в сад, пришла на работу в регистратуру и не стала кричать на бестолковую бабку, записавшуюся на прием к врачу на вчерашний день, но пришедшую сегодня, а произнесла: — Да ладно, не расстраивайтесь, я тоже иногда забываю свои дела.",2,11,negative,neutral
"Бабка, попав на прием, не стала требовать выписать ей очень действенное, но недорогое лекарство, которое может мгновенно помочь вылечить болезнь, угрожая в случае отказа написать жалобы все инстанции вплоть до Страсбургского суда по правам человека, а вздохнула и сказала: — Я же не совсем еще из ума выжила, понимаю, что старость не лечится, но вы меня, доктор, простите, что таскаюсь к вам постоянно как на работу.",2,11,neutral,neutral
"А доктор, направляясь вечером домой, вдруг вспомнил бабку и пожалел ее.",2,11,neutral,neutral
"В универе чувствую себя бабкой, которая до сих пор учится😅 не знаю почему…. может потому, что# яжмать, и я не должна сидеть сдавать какие зачеты, экзамены и тд.",2,11,neutral,neutral
"сегодня стала свидетелем зарождающейся человеческой трагедии мальчишка лет шести обоссался средь бела дня он стоял в кустах и тихонько выл, в то время как мамка с бабкой ругались над его головой, выясняя, кто виноват в инциденте насколько я поняла, они отвели его в не особо густые и огорожающие чужой интим кусты, но у него что-то заклинило в молнии и, не совладав с элементом фурнитуры, паренек надул в штаны и начал подвывать к слову, у меня был похожий инцидент в общественном туалете, но все обошлось оторванным молнией бантом от трусов но вернемся к сегодняшней драме на беду на расположенных непосредственно напротив места происшествия лавок не было никого, отсвечивала лишь моя туша я смотрела на мальчика, а он смотрел на меня вполне вероятно, что в этот момент у него зародилась душевная травма на всю жизнь возможно, он будет бояться женщин и страдать эректильной дисфункцией если особо повезет, он станет маньяком и начнет убивать довольно лестно принять такое участие в чьей-то зарождающейся судьбе еще меня впервые за долгое время чуть не сбила машина те, кто со мной плотно общается, знают, что я очень аккуратно перехожу дорогу, а затащить меня на несанкцианированный переход ― дело вообще бесперспективное тем не менее, я шла в таком трансе, что замызганная шоха с хачом за рулем чуть не внесла весомое разнообразие в мой быт хач опустил стекло и видимо уже набрал воздуха в легкие, чтобы поразить меня своим нехитрым вокабуляром, но, разглядев меня, лишь назидательно покачал головой ""свои своих не обижают"", - наверное, подумал такой вот интересный день",3,13,neutral,neutral
"И от ее историй мои волосы вставали дыбом, начнем сначала, а именно с того, что заведующая и замзаведующей не имеют педагогического образования, от слова совсем, я сам работаю в сфере где образование не важно, и конечно будет реальным лицемерством, рассуждать об отсутствии корочек, не имея оной, но тем не менее, это же Ад и Израиль, когда люди дающие первичное образование детям, разбираются в вопросе на уровне бабка нашептала (читай: книгу прочитала). но это цветочки, ягодки будут дальше.",5,5,neutral,neutral
"Дети ― бесят, выжившие из ума бабки в транспорте ― бесят, тупые тёлочки ― бесят, те, кто не может произнести название фотостудии ― бесят, те, кто их защищает и говорит, что это нормально ― бесят, кто не может найти ― БЕСЯТ!!!",2,11,negative,negative
"И тут выходит бабка с такими глазами О_ О и говорит ""А ранче я помню молодые люди в подьездах на гитарах играли"" делает грустные глаза и уходит.",2,11,neutral,neutral
"БАБКА Бабка была тучная, широкая, с мягким, певучим голосом.",2,11,neutral,neutral
"Все в доме, не исключая и Борьки, смотрели на бабку как на совершенно лишнего человека.",2,11,neutral,neutral
"Бабка спала на сундуке. Всю ночь она тяжело ворочалась с боку на бок, а утром вставала раньше всех и гремела в кухне посудой.",2,11,neutral,neutral
"Борька прятал голову под одеяло: «Иди ты, бабка…»",2,11,neutral,neutral
"Каждый раз во все углы тыкаешься из-за них!» Бабка торопилась к нему на помощь. «Да вот они, Петруша, на самом виду.",2,11,neutral,neutral
"Приходил из школы Борька, сбрасывал на руки бабке пальто и шапку, швырял на стол сумку с книгами и кричал: «Бабка, поесть!»",2,11,neutral,neutral
"Бабка прятала вязанье, торопливо накрывала на стол и, скрестив на животе руки, следила, как Борька ест.",2,11,neutral,neutral
"В эти часы как-то невольно Борька чувствовал бабку своим, близким человеком.",2,11,neutral,neutral
"Бабка слушала его любовно, с большим вниманием, приговаривая: «Всё хорошо, Борюшка: и плохое и хорошее хорошо.",2,11,neutral,neutral
"Наевшись, Борька отодвигал от себя тарелку: «Вкусный кисель сегодня! Ты ела, бабка?» «Ела, ела, – кивала головой бабка.",2,11,neutral,neutral
он даже хрен знает о чём речь но свои пять копеек полюбому надо внести.. как бабка пля старая.,2,11,negative,negative
"Кстати, в длинных автобусах не только летом задохнуться можно, зимой, когда туда набивается с утра куча толстых бабок, тоже плохоЯ иногда езжу в универ на больших, они на остановке у памятника славы всегда тупят по 5 минут минимум, подъезжаешь к остановке, а выйти не можешь, издевательство какое-то. и так на многих остановках. а если таких автобусов еще больше станет, то будет пиз.. ц просто.",2,11,negative,neutral
Ага бедные студенты/ бабки и прочие люди сразу купят себе по 600-му мерсу.,2,11,neutral,neutral
"Каждый вечер у телека, словно прокисшие бабки, Мы сидим, ощущая, что нас окружает дерьмо.",2,11,negative,negative
"Палыч: ― Мало того, что сторож ей всю ночь анекдоты рассказывал, так с утра пришла уборщица, тоже бабка кстати… попросила твою бабку чтобы она ноги подняла, бабка молчит… уборщица подумала, что бабка заснула и толкнула ее ноги шваброй, когда уборщица поняла, что бабка умерла, то она сразу потеряла сознание и падая зацепила документы, которые аккурат упали на уборщицу… Санитары думая, что уборщица и есть покойник, так как документы лежали на ней.",2,11,neutral,neutral
Бабка: ― Да так - прямо через кухню и херачь дальше:,2,11,neutral,neutral
"― Помогите, кто-нибудь помогите! Понимаю, что кричит бабка-соседка. Ей девяносто два года.",2,11,neutral,neutral
"Дверь в квартиру бабки раскрыта настежь, она стоит в коридоре и кричит, что к ней забрался какой-то мужик.",2,11,neutral,neutral
"Я медленно направляюсь к дальней комнате, дверь в которую закрыта. Бабка всё кричит: ― Гад, забрался. Убить меня хотел.",2,11,neutral,neutral
"Да и вообще, надо ведь защитить русскую бабульку от богохульников, а то ведь коли я за Дедов, значит, я должен быть и за Бабок.",2,11,neutral,neutral
"― Да вроде никого нет, ― говорю я, поворачиваясь к бабке.",2,11,neutral,neutral
"Не было его и в ванной, и в другой комнате, и в шкафах и под диваном. Зато у бабки было форменное сумасшествие. Она сошла с ума и до сих пор, не смотря на то, что я её пытался успокоить, завывает в подъезде: ― Володя, Володя!",2,11,neutral,neutral
"Конечно, такое лезвие обладает самозатачиваемостью, тут и к бабке не ходи.",5,5,neutral,neutral
"там может бабка лет 78, выглядит на 50…. выкладывай фото и мы посмотрим сколько тебе лет",2,11,neutral,neutral
"Приношу, успел выложить эти бананы, тут же бабка подбегает, и скупает у меня все персики, и говорит чтобы все сложил в кулечек!",2,11,neutral,neutral
"Потом слушаешь во дворе от бабок какой ты жук, что от соседских стенок греешься, а они последнюю пенсию несут)",2,11,negative,negative
"150 руб. проглотили, в следующий раз проглотят 1500 руб.. и будут себя рабы всякий раз успокаивать, что им не жалко денег да и сумма совсем не критичная. рабы ― они такие рабы) сколько лет нас ломали, разобщали и переделывали нам голову. вот они - плоды: последние трусы готовы снять и ворам отдать (лишь бы не было войны ― как говорят старые выжившие из ума бабки)",2,11,negative,neutral
вот где у безумных бабок и остальных лохов логика?,2,11,negative,negative
"сошлись на нормативные документы, раз такой умный толку от твоих писем никакого, мудрствования одни, выписывание мысленностей, напиши как ей решить проблему, пошагово, как бы ты делал такое ощущение, что ты кроме как с бабками а возля подъезду давно не общался ни с кем",2,11,neutral,negative
Еще не много меня бабки возбуждать начнут.,2,11,neutral,neutral
"Тесто, к слову сказать, тоже было не простое, а на воде, принесенной на рассвете из трех колодцев, желательно – бабкой-знахаркой.",5,5,neutral,neutral
*** Дед и бабка find ― found ― found Пса породы бассет-хаунд.,2,11,neutral,neutral
"Раньше бабка sit ― sat ― sat, Knit ― knit ― knit себе жакет, А теперь ей дед велит Это дело quit ― quit ― quit, Нынче бабушка и дед Жизнь другую lead ― led ― led: Дед с улыбкой дремлет в ванне, Бабка dwell ― dwelt ― dwelt в чулане, Пес в кровати lie ― lay ― lain, Прямо как Саддам Хусейн",2,11,neutral,neutral
"И не обгавкала бестолковую бабку, записавшуюся к невропатологу на вчера и пришедшую сегодня, а сказала: ― Да ладно вам расстраиваться, и я забываю, вы посидите, а я спрошу у врача, вдруг он сможет вас принять.",2,11,negative,neutral
